1	2 	3	4
251	10053	10316	0
252	10053	10317	0
253	10053	10330	0
254	10053	10331	0
255	10053	10332	0
256	10053	10336	0
257	10053	10337	0
258	10053	10338	0
259	10053	10339	1
260	10053	10339	0
261	10053	10340	0
262	10053	10342	0
263	10053	10343	0
264	10053	10344	0
265	10053	10345	0
266	10053	10398	0
267	10054	10022	1
268	10054	10022	0
269	10054	10025	1
270	10054	10025	0
271	10054	10053	0
272	10054	10055	1
273	10054	10055	0
274	10054	10056	0
275	10054	10057	0
276	10054	10058	1
277	10054	10058	0
278	10054	10059	0
279	10054	10060	0
280	10054	10061	0
281	10054	10196	0
282	10054	10197	0
283	10054	10198	0
284	10054	10199	0
285	10054	10200	1
286	10054	10200	0
287	10054	10201	0
288	10054	10202	1
289	10054	10202	0
290	10054	10203	1
291	10054	10203	0
292	10054	10204	0
293	10054	10205	1
294	10054	10205	0
295	10054	10211	1
296	10054	10211	0
297	10054	10213	1
298	10054	10213	0
299	10054	10294	1
300	10054	10294	0
301	10054	10312	0
302	10054	10313	0
303	10054	10314	0
304	10054	10315	0
305	10054	10316	0
306	10054	10317	0
307	10054	10330	0
308	10054	10331	0
309	10054	10332	0
310	10054	10336	0
311	10054	10337	0
312	10054	10338	0
313	10054	10339	1
314	10054	10339	0
315	10054	10340	0
316	10054	10342	0
317	10054	10343	0
318	10054	10344	0
319	10054	10345	0
320	10054	10398	0
321	10055	10022	1
322	10055	10022	1
374	10055	10022	1
375	10055	10022	0
323	10055	10025	1
324	10055	10025	1
376	10055	10025	1
377	10055	10025	0
325	10055	10053	1
378	10055	10053	0
326	10055	10054	1
379	10055	10054	0
327	10055	10056	1
380	10055	10056	0
328	10055	10057	1
381	10055	10057	0
329	10055	10058	1
330	10055	10058	1
382	10055	10058	1
383	10055	10058	0
331	10055	10059	1
384	10055	10059	0
332	10055	10060	1
385	10055	10060	0
333	10055	10061	1
386	10055	10061	0
334	10055	10196	1
387	10055	10196	0
335	10055	10197	1
388	10055	10197	0
336	10055	10198	1
389	10055	10198	0
337	10055	10199	1
390	10055	10199	0
338	10055	10200	1
339	10055	10200	1
391	10055	10200	1
392	10055	10200	0
340	10055	10201	1
393	10055	10201	0
341	10055	10202	1
342	10055	10202	1
394	10055	10202	1
395	10055	10202	0
343	10055	10203	1
344	10055	10203	1
396	10055	10203	1
397	10055	10203	0
345	10055	10204	1
398	10055	10204	0
346	10055	10205	1
347	10055	10205	1
399	10055	10205	1
400	10055	10205	0
348	10055	10211	1
349	10055	10211	1
401	10055	10211	1
402	10055	10211	0
350	10055	10213	1
351	10055	10213	1
403	10055	10213	1
404	10055	10213	0
352	10055	10294	1
353	10055	10294	1
405	10055	10294	1
406	10055	10294	0
354	10055	10312	1
407	10055	10312	0
355	10055	10313	1
408	10055	10313	0
356	10055	10314	1
409	10055	10314	0
357	10055	10315	1
410	10055	10315	0
358	10055	10316	1
411	10055	10316	0
359	10055	10317	1
412	10055	10317	0
360	10055	10330	1
413	10055	10330	0
361	10055	10331	1
414	10055	10331	0
362	10055	10332	1
415	10055	10332	0
363	10055	10336	1
416	10055	10336	0
364	10055	10337	1
417	10055	10337	0
365	10055	10338	1
418	10055	10338	0
366	10055	10339	1
367	10055	10339	1
419	10055	10339	1
420	10055	10339	0
368	10055	10340	1
421	10055	10340	0
369	10055	10342	1
422	10055	10342	0
370	10055	10343	1
423	10055	10343	0
371	10055	10344	1
424	10055	10344	0
372	10055	10345	1
425	10055	10345	0
373	10055	10398	1
426	10055	10398	0
427	10056	10022	1
428	10056	10022	0
429	10056	10025	1
430	10056	10025	0
431	10056	10053	0
432	10056	10054	0
433	10056	10055	1
434	10056	10055	0
435	10056	10057	0
436	10056	10058	1
437	10056	10058	0
438	10056	10059	0
439	10056	10060	0
440	10056	10061	0
441	10056	10196	0
442	10056	10197	0
443	10056	10198	0
444	10056	10199	0
445	10056	10200	1
446	10056	10200	0
447	10056	10201	0
448	10056	10202	1
449	10056	10202	0
450	10056	10203	1
451	10056	10203	0
452	10056	10204	0
453	10056	10205	1
454	10056	10205	0
455	10056	10211	1
456	10056	10211	0
457	10056	10213	1
458	10056	10213	0
459	10056	10294	1
460	10056	10294	0
461	10056	10312	0
462	10056	10313	0
463	10056	10314	0
464	10056	10315	0
465	10056	10316	0
466	10056	10317	0
467	10056	10330	0
468	10056	10331	0
469	10056	10332	0
470	10056	10336	0
471	10056	10337	0
472	10056	10338	0
473	10056	10339	1
474	10056	10339	0
475	10056	10340	0
476	10056	10342	0
477	10056	10343	0
478	10056	10344	0
479	10056	10345	0
480	10056	10398	0
481	10057	10022	1
482	10057	10022	0
483	10057	10025	1
484	10057	10025	0
485	10057	10053	0
486	10057	10054	0
487	10057	10055	1
488	10057	10055	0
489	10057	10056	0
490	10057	10058	1
491	10057	10058	0
492	10057	10059	0
493	10057	10060	0
494	10057	10061	0
495	10057	10196	0
496	10057	10197	0
497	10057	10198	0
498	10057	10199	0
499	10057	10200	1
500	10057	10200	0
501	10057	10201	0
502	10057	10202	1
503	10057	10202	0
504	10057	10203	1
505	10057	10203	0
506	10057	10204	0
507	10057	10205	1
508	10057	10205	0
509	10057	10211	1
510	10057	10211	0
511	10057	10213	1
512	10057	10213	0
513	10057	10294	1
