0,1,2
764,10060,10336
765,10060,10337
766,10060,10338
767,10060,10339
768,10060,10339
769,10060,10340
770,10060,10342
771,10060,10343
772,10060,10344
773,10060,10345
774,10060,10398
775,10060,10207
776,10060,10206
777,10061,10022
778,10061,10022
779,10061,10025
780,10061,10025
781,10061,10053
782,10061,10054
783,10061,10055
784,10061,10055
785,10061,10056
786,10061,10057
787,10061,10058
788,10061,10058
789,10061,10059
790,10061,10060
791,10061,10196
792,10061,10197
793,10061,10198
794,10061,10199
795,10061,10200
796,10061,10200
797,10061,10201
798,10061,10202
799,10061,10202
800,10061,10203
801,10061,10203
802,10061,10204
803,10061,10205
804,10061,10205
805,10061,10211
806,10061,10211
807,10061,10213
808,10061,10213
809,10061,10294
810,10061,10294
811,10061,10312
812,10061,10313
813,10061,10314
814,10061,10315
815,10061,10316
816,10061,10317
817,10061,10330
818,10061,10331
819,10061,10332
820,10061,10336
821,10061,10337
822,10061,10338
823,10061,10339
824,10061,10339
825,10061,10340
826,10061,10342
827,10061,10343
828,10061,10344
829,10061,10345
830,10061,10398
831,10061,10207
832,10061,10206
833,10196,10022
834,10196,10022
835,10196,10025
836,10196,10025
837,10196,10053
838,10196,10054
839,10196,10055
